hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
PROMEDICA MEMORIAL HOSPITAL,FREMONT,,OH,,715 SOUTH TAFT AVENUE,Other not-for-profit (including NFP Corporation),fundamental   (Management company)                               ,43,no,yes,Financial Assistance Policy English (Plain Language Summary) (promedica.org),https://www.promedica.org/assets/documents/patient-resources/uninsured_discount_policy.pdf,Less than 200% FPL,201-400% FPL,Yes,No,Yes - resident in the Ohio or Michigan ProMedica defined service area. ,yes,yes,"No mentioned in policy, but not a practice of the hospital, according to Tausha Moore",yes,yes (but no liens on property),"No mentioned in policy, but not a practice of the hospital, according to Tausha Moore",
TRIHEALTH BETHESDA NORTH,CINCINNATI,,OH,,10500 MONTGOMERY ROAD,Other not-for-profit (including NFP Corporation),Branded 'Trihealth',390,no,yes,https://www.trihealth.com/-/media/trihealth/documents/tools/pay-your-bill/financial-assistance-policy-2020.pdf?la=en&hash=FE19E04BB47A1DA5E151255B2ED5F0A699D2CEE0,https://www.trihealth.com/tools/pay-your-bill/billing-faqs,Below 150% FPL,150-300% FPL,No,"Yes, for patients with bills that exceed 100% of their income",No,"Allowed in policy, but not currently a practice of the hospital, according to Emily Seitz-Pawlak, Vice President of Revenue Cycle",Yes,"Allowed in policy, but not currently a practice of the hospital, according to Emily Seitz-Pawlak, Vice President of Revenue Cycle",Yes,Yes,"Allowed in policy, but not currently a practice of the hospital, according to Emily Seitz-Pawlak, Vice President of Revenue Cycle",
PROMEDICA BAY PARK HOSPITAL,OREGON,,OH,,2801 BAY PARK DRIVE,Other not-for-profit (including NFP Corporation),ProMedica Health System,44,no,yes,Microsoft Word - Financial Assistance Policy English (Plain Language Summary) needs revision 12-14-20.docx (promedica.org),https://www.promedica.org/assets/documents/patient-resources/uninsured_discount_policy.pdf ,Less than 200% FPL,201-400% FPL,Yes,No,Yes - resident in the Ohio or Michigan ProMedica defined service area. ,yes,yes,"No mentioned in policy, but not a practice of the hospital, according to Tausha Moore",yes,yes (but no liens on property),"No mentioned in policy, but not a practice of the hospital, according to Tausha Moore",
DILEY RIDGE MEDICAL CENTER,CANAL WINCHESTER,,OH,,7911 DILEY ROAD,Other not-for-profit (including NFP Corporation),No,10,no,no,DRMC_financial-assistance-policy.pdf (dileyridgemedicalcenter.com),Information included in FAP,Below 200% FPL,201-400% FPL,Yes,"Yes, for patients with bills exceeding 20% of income",Yes,yes,yes,Unclear; not mentioned in policy,yes,yes,Yes,
KING'S DAUGHTERS MEDICAL CENTER,PORTSMOUTH,,OH,,"1901 ARGONNE ROAD                                                                                                                            
",Other not-for-profit (including NFP Corporation),No,10,"yes, but the link is not working",no,https://www.kingsdaughtershealth.com/documents/2020%20Financial%20Assistance/KDOH-FA-Collection-Policy-2018-10-12.pdf,Included in FAP,Below 200% FPL,201-300% FPL,Yes,"Yes, if medical bills exceed 20% of income",No,Yes,Yes,Unclear - not mentioned in policy,Unclear - not mentioned in policy,Unclear - not mentioned in policy,yes,
AKRON GENERAL LODI HOSPITAL,LODI,,OH,,225 ELYRIA STREET,Other not-for-profit (including NFP Corporation),Cleveland Clinic Health System,20,"Yes, bottom of page",Yes,https://my.clevelandclinic.org/-/scassets/files/org/patients-visitors/billing/financial-assistance/financial-assistance-program-policy.pdf?la=en,Included in FAP,Below 250% FPL,250-400% FPL,No,"Yes, catastrophic balance financial assistance; if charges exceed 15% income",Yes (Ohio),No,Yes,"Not mentioned in the policies but not a practice of the hospital, according to Angela Smith",Yes,No,No,
MAGRUDER HOSPITAL,PORT CLINTON,,OH,,615 FULTON ST,Other not-for-profit (including NFP Corporation),No,25,no,no,https://www.magruderhospital.com/app/files/public/3f014fc3-7826-4e81-89bf-3f192eadd2f2/Financial%20Assistance%20Policy%202022.pdf,CreditandCollectionPolicy.pdf (hubspot.net),Below 100% FPL,100-300% FPL,Yes,No,Patient must be a resident of the State of Ohio,Yes,yes,yes,Yes,Yes*,"No. Not mentioned in policy, but not a practice, according to Julie Georgoff, CFO",
OHIOHEALTH HARDIN MEMORIAL HOSPITAL,KENTON,,OH,,921 EAST FRANKLIN STREET,Other not-for-profit (including NFP Corporation),OhioHealth,25,yes,yes,ohiohealth-fap.pdf,no,Below 200% FPL,200-400% FPL,"yes, on application","Yes, on a case by case basis",no,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,Unclear - no available policy,
BARNESVILLE HOSPITAL,BARNESVILLE,,OH,,639 WEST MAIN STREET,Other not-for-profit (including NFP Corporation),West Virginia University Health System,65,yes,no,https://wvumedicine.org/barnesville/wp-content/uploads/sites/60/2021/03/Financial-Assistance-Program-Policy-1.pdf ,https://wvumedicine.org/ruby-memorial-hospital/wp-content/uploads/sites/3/2018/04/billing-and-collections-policy-492018.pdf,none,100-250% FPL,Yes -- assets must be less than twice the amount of the bill,"Yes -- long term or catastrophic illness, patients owe up to 2x annual adjusted gross income",,"Yes, but infrequent according to Angela S. Knopf",Yes,"Not mentioned in policy but not a practice of the hospital, according to Angela S. Knopf","Yes, but infrequent according to Angela S. Knopf","Yes, but infrequent according to Angela S. Knopf","Not mentioned in policy but not a practice of the hospital, according to Angela S. Knopf",
ADENA PIKE MEDICAL CENTER,WAVERLY,,OH,,100 DAWN LANE,Other not-for-profit (including NFP Corporation),Adena Health System,25,no,yes,financial-assistance-policy.pdf (adena.org),PolicyStat (adena.org),Below 200% FPL,201-400% FPL,Yes,No,Yes,Yes,yes,Unclear - not mentioned in policy,Yes,Yes,Unclear - not mentioned in policy,
"WOODS AT PARKSIDE,THE",GAHANNA,,OH,,349 OLDE RIDENOUR ROAD,"Partnership, Investor-owned, for-profit",No,50,no,no,no,not listed,not listed,not listed,not listed,not listed,none listed,not listed,not listed,not listed,not listed,not listed,not listed,
ASCENSION ST. JOHN NOWATA,NOWATA,,OK,,237 SOUTH LOCUST STREET,"Church-operated, Non-government, not-for-profit",Ascension Healthcare,15,yes,yes,runningfile_eng_ascstjohn_fap.pdf (ascension.org),runningfile_eng_ascstjohn_billing-and-collections-policy.pdf (ascension.org),0% - 250% FPL Base = 100% write off," Patients with incomes above 250% of the FPL but not exceeding 400% of the FPL, will receive a sliding scale discount on that portion of the charges for services provided for which the Patient is responsible following 
payment by an insurer. 251% - 300% FPL Base = 80% write off 
301% - 399% FPL Base = 70% write off ",Yes,Yes - for patients with bills that exceed annual income,Yes - service area,Yes,yes,Yes,Yes,Yes,Yes,
Mercy Hospital Kingfisher,KINGFISHER,,OK,,1000 KINGFISHER HOSPITAL DRIVE,"Church-operated, Non-government, not-for-profit",Mercy,25,no,yes,Mercy Revenue Management,Information included in FAP,Below 200% FPL,201-300% FPL,No,No,No,Yes,Yes,"No; not mentioned in policy, but not a policy of the hospital, according to Nancy Dixon","No; not mentioned in policy, but not a policy of the hospital, according to Nancy Dixon",Yes,Yes,
"PAWHUSKA HOSPITAL INC,",PAWHUSKA,,OK,,1101 EAST 15TH STREET,"City, Government, non-federal",No,15,yes,no search engine,2020-Financial-Assistance-Policy-Pawhuska.pdf (secureservercdn.net),Listed on FAP,No income standard,No income standard,Yes (on application),No,No,yes,yes,yes,yes,yes,Unclear; not specified in policy,
NEWMAN MEMORIAL HOSPITAL,SHATTUCK,,OK,,905 SOUTH MAIN STREET,"City, Government, non-federal",No,25,No,No-- no search bar,https://0nu.2a4.myftpupload.com/wp-content/uploads/2022/01/bo.8266.1001-financial-assistance.charity-care.pdf,Included in FAP,Yes -- less than or = 180% FPL,Yes -- 181-300% FPL,Yes,"Yes-- exceed federal poverty guidelines (FPG), bill reduced to no more than 20% patient's gross annual income per account",No,Yes according to the FAP,Yes according to the FAP,Unclear ; not mentioned in policy,Unclear ; not mentioned in policy,Yes according to the FAP,"Yes, hospital may defer or deny non-emergency medically necessary care according to the FAP",
ALLIANCE HEALTH WOODWARD,WOODWARD,,OK,,900 17TH STREET,"Corporation, Investor-owned, for-profit","Community Health Systems, Inc.",40,No,Yes,No,No,"No available policy, but below 100% FPL, according to spokeswoman Rebecca Pitt","No available policy, but 100-400% FPL, for uninsured only, according to spokeswoman Rebecca Pitt","Yes, according to application","No policy, but hospital may grant relief in some cases, according to spokeswoman Rebecca Pitt","No, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt",
ST. ANTHONY HOSPITAL-MIDWEST,MIDWEST CITY,,OK,,2825 PARKLAWN DRIVE,"Corporation, Investor-owned, for-profit",SSM Health,255,Yes,Yes,https://www.ssmhealth.com/SSMHealth/media/Documents/patients-and-visitors/financial-assistance/english-charity-care.pdf,https://www.ssmhealth.com/SSMHealth/media/Documents/patients-and-visitors/financial-assistance/english-billing-collecting-patient-liabilities.pdf,"Yes                                                   Below 200% FPL (FAP page 11, exhibit B)","Yes                                          201-400% FPL (FAP page 11, exhibit B)","Yes, with exceptions (FAP page 6, letter B)","Yes, 'Catastrophic Discounts' are available regardless of financial status per the Financial Assistance Policy p8 letter IX D.","Yes; per the Financial Assistance policy (p 7 number IV) 'Eligibility for financial assistance may be restricted to residents in eligible 
service areas of SSM Health’s Operating Entities' however, ""this (geographic restriction) has not been applied by SSM health at any point"" per Patrick Kampert","Yes, per the Billing and Collections policy, however, “During the pandemic, SSM’s financial assistance policy was modified to not pursue extraordinary collection efforts which includes any legal action.” Per Patrick Kampert – clarification pending","Yes (Billing and Collections policy page 2, number III)",Not mentioned in the policies but not a practice of the hospital per Patrick Kampert,"Yes, per the Billing and Collections policy, however, “During the pandemic, SSM’s financial assistance policy was modified to not pursue extraordinary collection efforts which includes any legal action.” Per Patrick Kampert – clarification pending","Yes, per the Billing and Collections policy, however, “During the pandemic, SSM’s financial assistance policy was modified to not pursue extraordinary collection efforts which includes any legal action.” Per Patrick Kampert – clarification pending",Not mentioned in the policies but not a practice of the hospital per Patrick Kampert,
LAKESIDE WOMEN'S HOSPITAL,OKLAHOMA CITY,,OK,,11200 NORTH PORTLAND AVENUE,"Corporation, Investor-owned, for-profit",INTEGRIS Health,23,no,yes,https://integrisok.com/Patient-Information/Financial-Assistance,https://integrisok.com/Patient-Information/Financial-Assistance,Below 150% FPL,150-300% FPL,No,"Yes, for patients with bills exceeding 25% of income (no discount schedule)",No,Yes,Yes,Yes,Yes,yes,yes,
ALLIANCE HEALTH SEMINOLE,SEMINOLE,,OK,,2401 WRANGLER BOULEVARD,"Corporation, Investor-owned, for-profit","Community Health Systems, Inc.",17,No,yes,No,No,"No available policy, but below 100% FPL, according to spokeswoman Rebecca Pitt","No available policy, but 100-400% FPL, for uninsured only, according to spokeswoman Rebecca Pitt","Yes, according to website","No policy, but hospital may grant relief in some cases, according to spokeswoman Rebecca Pitt","No, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt",
HARMON MEMORIAL HOSPITAL,HOLLIS,,OK,,400 EAST CHESTNUT STREET,"Hospital district or authority-Government, non-federal",No,14,no,No-- no search bar,no,no,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
